userId,title,price,quantity,amount,firstName,lastName,age,gender,email,city,state,date
33,Charger SXT RWD,32999.99,3,98999.97,Carter,Baker,32,male,carter.baker@x.dummyjson.com,Denver,Oregon,2024-10-24
33,Apple MacBook Pro 14 Inch Space Grey,1999.99,2,3999.98,Carter,Baker,32,male,carter.baker@x.dummyjson.com,Denver,Oregon,2023-09-22
33,Green Oval Earring,24.99,5,124.95,Carter,Baker,32,male,carter.baker@x.dummyjson.com,Denver,Oregon,2024-10-09
33,Apple Airpods,129.99,5,649.95,Carter,Baker,32,male,carter.baker@x.dummyjson.com,Denver,Oregon,2024-09-13
142,Cricket Helmet,44.99,4,179.96,Aria,Parker,28,female,aria.parker@x.dummyjson.com,Phoenix,Alabama,2023-06-01
142,iPhone X,899.99,4,3599.96,Aria,Parker,28,female,aria.parker@x.dummyjson.com,Phoenix,Alabama,2024-09-05
142,Golf Ball,9.99,4,39.96,Aria,Parker,28,female,aria.parker@x.dummyjson.com,Phoenix,Alabama,2024-09-16
142,iPhone 6,299.99,3,899.97,Aria,Parker,28,female,aria.parker@x.dummyjson.com,Phoenix,Alabama,2024-01-25
142,Selfie Lamp with iPhone,14.99,5,74.95,Aria,Parker,28,female,aria.parker@x.dummyjson.com,Phoenix,Alabama,2024-05-01
108,Rolex Submariner Watch,13999.99,1,13999.99,James,Garcia,46,male,james.garcia@x.dummyjson.com,Washington,Maryland,2024-01-31
108,Oppo A57,249.99,5,1249.95,James,Garcia,46,male,james.garcia@x.dummyjson.com,Washington,Maryland,2023-06-29
108,Egg Slicer,6.99,2,13.98,James,Garcia,46,male,james.garcia@x.dummyjson.com,Washington,Maryland,2023-08-27
108,Ice Cube Tray,5.99,2,11.98,James,Garcia,46,male,james.garcia@x.dummyjson.com,Washington,Maryland,2024-08-15
108,Samsung Galaxy S8,499.99,3,1499.97,James,Garcia,46,male,james.garcia@x.dummyjson.com,Washington,Maryland,2023-06-26
87,Golden Shoes Woman,49.99,5,249.95,Hunter,Gordon,34,male,hunter.gordon@x.dummyjson.com,Charlotte,Florida,2023-10-02
87,Strawberry,3.99,5,19.95,Hunter,Gordon,34,male,hunter.gordon@x.dummyjson.com,Charlotte,Florida,2024-05-22
87,Green and Black Glasses,34.99,5,174.95,Hunter,Gordon,34,male,hunter.gordon@x.dummyjson.com,Charlotte,Florida,2023-08-06
87,Ice Cube Tray,5.99,2,11.98,Hunter,Gordon,34,male,hunter.gordon@x.dummyjson.com,Charlotte,Florida,2023-11-20
